	RNA.FC003_Epithelial.0	RNA.FC003_Epithelial.1	RNA.FC003_Epithelial.2	RNA.FC003_Epithelial.4	RNA.FC003_Epithelial.3	RNA.FC004_Epithelial.0	RNA.FC004_Epithelial.1	RNA.FC004_Epithelial.2	RNA.FC004_Epithelial.4	RNA.FC004_Epithelial.3	RNA.FC006_Epithelial.0	RNA.FC006_Epithelial.1	RNA.FC006_Epithelial.2	RNA.FC006_Epithelial.4	RNA.FC006_Epithelial.3	RNA.FC007_Epithelial.0	RNA.FC007_Epithelial.1	RNA.FC007_Epithelial.2	RNA.FC007_Epithelial.4	RNA.FC007_Epithelial.3	RNA.FC008_Epithelial.0	RNA.FC008_Epithelial.1	RNA.FC008_Epithelial.2	RNA.FC008_Epithelial.4	RNA.FC008_Epithelial.3	RNA.FC009_Epithelial.0	RNA.FC009_Epithelial.1	RNA.FC009_Epithelial.2	RNA.FC009_Epithelial.4	RNA.FC009_Epithelial.3	RNA.FC011_Epithelial.0	RNA.FC011_Epithelial.1	RNA.FC011_Epithelial.2	RNA.FC011_Epithelial.4	RNA.FC011_Epithelial.3	RNA.FC012_Epithelial.0	RNA.FC012_Epithelial.1	RNA.FC012_Epithelial.2	RNA.FC012_Epithelial.4	RNA.FC012_Epithelial.3	RNA.FC013_Epithelial.0	RNA.FC013_Epithelial.1	RNA.FC013_Epithelial.2	RNA.FC013_Epithelial.4	RNA.FC013_Epithelial.3	RNA.FC014_Epithelial.0	RNA.FC014_Epithelial.1	RNA.FC014_Epithelial.2	RNA.FC014_Epithelial.4	RNA.FC014_Epithelial.3	RNA.FC018_Epithelial.0	RNA.FC018_Epithelial.1	RNA.FC018_Epithelial.2	RNA.FC018_Epithelial.4
24_25DHVITD3t_pos	73232.41626	73897.71834	74218.56329	72738.88313	73896.47103	75106.93428	75282.914	75625.66274	74277.63529	76803.37558	74123.32603	74538.04407	78862.82063	73026.56053	73819.56988	73970.05067	73737.6936	77019.32218	74853.16384	75711.09719	74727.20878	74448.57997	75503.77024	74791.07151	76113.86433	74937.52018	75016.03704	76734.23744	74613.0362	75204.86483	74078.89457	74209.64352	73664.19376	73415.93164	75321.9831	74122.34674	74282.01083	75418.07354	74479.41514	75623.7618	74144.11594	74414.41067	76159.16986	74759.7451	75980.03624	75719.91931	75545.54535	75942.90718	75204.0357	76276.7372	84498.01565	81298.69755	85921.02386	79049.1014
24_25DHVITD3tm_pos	74770.90892	75275.35779	75953.63257	74455.84169	75672.42874	76574.58205	76432.34778	77105.10152	75829.01756	78281.3432	75227.04834	75483.10507	80260.90854	74580.17913	75449.6443	75281.99535	75165.38245	78761.97804	76611.1782	77449.95491	76224.41603	75760.49963	77105.74415	76353.24428	77344.81079	76255.11797	76140.44508	78138.64649	76208.90962	76801.46441	75344.43008	75321.00034	75147.4408	74996.37942	76729.53293	75596.72224	75715.21723	77219.96961	76097.95583	77249.27174	75555.6645	75906.60497	77845.38121	76435.20388	77685.21612	77081.44749	76771.17758	77362.69316	76572.55112	78006.35204	85747.32556	82593.53003	87621.01417	80560.31082
24_25VITD2Hm_pos	13.21330592	13.25918341	13.44596817	13.27038162	13.42335452	13.31123564	13.20013549	13.23088227	13.39286939	13.47595019	12.94773497	12.95039455	13.55549356	13.50313812	13.32883043	13.11685255	13.38985857	13.80096748	13.5903679	13.59058711	13.30306557	13.29200526	13.48798285	13.46591061	13.18303087	13.14375843	13.15117097	13.41592104	13.53715152	13.54116206	13.13412434	13.12428795	13.2889037	13.39826154	13.41192882	13.32777965	13.4038501	13.70117315	13.59606708	13.46640674	13.26799314	13.44319923	13.67137232	13.58809897	13.58948075	13.32656683	13.31981301	13.49203185	13.40790529	13.58564767	13.69046802	13.77457811	14.56366153	13.87506023
24_25VITD3Hm_pos	74770.90892	75275.35779	75953.63257	74455.84169	75672.42874	76574.58205	76432.34778	77105.10152	75829.01756	78281.3432	75227.04834	75483.10507	80260.90854	74580.17913	75449.6443	75281.99535	75165.38245	78761.97804	76611.1782	77449.95491	76224.41603	75760.49963	77105.74415	76353.24428	77344.81079	76255.11797	76140.44508	78138.64649	76208.90962	76801.46441	75344.43008	75321.00034	75147.4408	74996.37942	76729.53293	75596.72224	75715.21723	77219.96961	76097.95583	77249.27174	75555.6645	75906.60497	77845.38121	76435.20388	77685.21612	77081.44749	76771.17758	77362.69316	76572.55112	78006.35204	85747.32556	82593.53003	87621.01417	80560.31082
25HVITD2t_pos	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900
25HVITD2tin_m_pos	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900
25HVITD2tin_pos	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900
25HVITD2tm_pos	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900
25HVITD3c_pos	73225.73953	73886.91163	74229.75371	72807.14163	73912.4542	75139.77782	75351.49857	75729.03824	74293.56404	76895.37924	74151.76481	74686.5904	78954.82429	73130.23889	73887.88804	73996.06828	73826.55686	77110.26355	74789.05394	75734.79847	74722.3701	74486.82373	75540.93578	74860.21034	76222.93497	74953.17649	75112.31394	76826.2411	74563.13897	75265.13423	74070.09162	74277.21587	73649.87494	73403.7367	75447.13041	74146.73761	74338.41294	75467.22449	74512.90457	75682.62514	74190.26874	74473.69875	76229.09031	74804.63735	76047.99322	75754.69709	75614.77976	75965.86169	75222.72058	76373.17007	84876.37138	81741.23436	86022.98212	79288.45518
25HVITD3t_pos	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900	1900
